source_id,source_file,source_report,geometry_source,source_x_m,source_y_m,conversion_crs,conversion_status,longitude,latitude
metallic_e00_lab_064,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,32.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99969785,18.0
metallic_e00_lab_065,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,109873.53,26903.734,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-65.96112075,18.24026869
metallic_e00_lab_066,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,33.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.9996884,18.0
metallic_e00_lab_067,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,109583.17,26595.52,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-65.9638826,18.23749921
metallic_e00_lab_068,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,34.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99967896,18.0
metallic_e00_lab_069,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,63084.242,5512.423,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.40417486,18.04888915
metallic_e00_lab_070,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,35.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99966952,18.0
metallic_e00_lab_071,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,109939.22,26136.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-65.96054086,18.23332977
metallic_e00_lab_072,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,36.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99966008,18.0
metallic_e00_lab_073,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,57822.938,5311.25,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.45387273,18.04721832
metallic_e00_lab_074,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,37.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99965064,18.0
metallic_e00_lab_075,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,110345.98,26691.484,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-65.95666516,18.23832699
metallic_e00_lab_076,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,38.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99964119,18.0
metallic_e00_lab_077,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,57351.555,4633.482,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.45834357,18.04110717
metallic_e00_lab_078,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,39.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99963175,18.0
metallic_e00_lab_079,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,60676.797,4551.88,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.42694093,18.04027938
metallic_e00_lab_080,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,40.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99962231,18.0
metallic_e00_lab_081,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,61618.25,4184.96,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.41806038,18.03693771
metallic_e00_lab_082,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,41.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99961287,18.0
metallic_e00_lab_083,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,57913.742,3559.344,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.45306401,18.03138733
metallic_e00_lab_084,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,42.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99960342,18.0
metallic_e00_lab_085,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,102278.47,18713.785,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.0333405,18.16665648
metallic_e00_lab_086,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,43.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99959398,18.0
metallic_e00_lab_087,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,79820.656,12460.07,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.24583442,18.11110686
metallic_e00_lab_088,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,44.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.99958454,18.0
metallic_e00_lab_089,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,-14116.668,5538.743,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-67.13333131,18.04999923
metallic_e00_lab_090,metallic.e00,USGS OFR 98-038,ARC/INFO E00 LAB coordinate,45.0,0.0,Polyconic lon_0=-67 lat_0=18 Clarke 1866 meters to EPSG:4326,derived_from_lab_coordinates_attributes_pending,-66.9995751,18.0
