municipality,source_state,series_document_class,operational_document_class,fallback_relationship,filename,byte_size,sha256,acquisition_status
Juncos,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Juncos_sectores_inundables.pdf,9574454,f621a24d03057368115075d39ef209feb8971cea4b1d94f1474c54319228e7f5,downloaded
Lajas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Lajas_sectores_inundables.pdf,7011457,8cc51f3ba17fe24ab63d74b6f5e928bf1c6012f3d20e3736f6132809b7691b34,downloaded
Lares,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Lares_sectores_inundables.pdf,4019093,f5a3856624174dc63ad05c4f6c1890fc279d008cf59e0223f5e5f03a405103b9,downloaded
Las Marías,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,LasMarias_sectores_inundables.pdf,2188857,80adccd84c96a6749e4bb9a1627500724d901cf8eed8ecd2fe3e42e31775fefa,downloaded
Las Piedras,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,LasPiedras_sectores_inundables.pdf,5062629,8f7ea23d330e32e2523a5587c3be6e151d08451b4a1b2313ee6293633cd4630b,downloaded
Loíza,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Loiza_sectores_inundables.pdf,12139664,303d149d75da3d8a37f5c98e40adb06877be746417e35a923d824c2c880363fc,downloaded
Luquillo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Luquillo_sectores_inundables.pdf,15643552,2c0a5c79719c0672e4ae156f456fc9f50e0a804ffd32757bf87220d2be2de5b5,downloaded
Manatí,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Manati_sectores_inundables.pdf,6662858,45c4f9a1617fdcb30342f9cf5a96b254ef89e6929364533fda1c6054b26a2d5e,downloaded
Maricao,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Maricao_sectores_inundables.pdf,2218656,8497b88503bb823ef19ec84b8adeee390659758d8f52421cb03f34a8a5e21d13,downloaded
Maunabo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Maunabo_sectores_inundables.pdf,4671671,c21b533479ef70c8eab73817692a984034a78d7f6a16be2c7b8a4c85a17292a0,downloaded
Mayagüez,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Mayaguez_sectores_inundables.pdf,21317395,863bc3cd51c075c35cf018bf21d961f1aed4a13be735f2a417a45f9cead8baba,downloaded
Moca,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Moca_sectores_inundables.pdf,4696540,893c5ab5663b7f74b7b9bec97bbeac151768718860b1b09b03cb8897e842612b,downloaded
Morovis,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Morovis_sectores_inundables.pdf,4568845,9b03281f05d943148f61bc9f3917a7296a1ffdb6697f94bd92ba37336191b2c6,downloaded
Naguabo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Naguabo_sectores_inundables.pdf,12593282,91d9939746ce2a4be60a078cf8620d5378192bfd97995f3c9e14a46d7f60dd22,downloaded
Naranjito,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Naranjito_sectores_inundables.pdf,3770592,4591f7320fb8cc8b0e10b788a2b3763b68e02215f9957ee6ec65fcfba7b12600,downloaded
Orocovis,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Orocovis_sectores_inundables.pdf,2288300,472f461647e72268126e5353994ad610ada14906c84b83de9dbac35bff104f3f,downloaded
Patillas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Patillas_sectores_inundables.pdf,11128128,13b9e1f7daf7245b0058c6b2406e1e69290b72e825bde48c17633e11c8f2a38c,downloaded
Peñuelas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Penuelas_sectores_inundables.pdf,9787612,27ae3b887f58887f0d243f1d90fcc4c529bfc1427bf6e77c31cead6869c4f982,downloaded
Ponce,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Ponce_sectores_inundables.pdf,41624686,4261c4e2b7bef38e83908d2f57992e3ba79a2a70f840587eddb87d1fb9d9ce08,downloaded
Quebradillas,LISTED_BUT_MISSING,flood_risk_zone_map,hazard_mitigation_plan,authoritative_fallback_not_equivalent,Quebradillas.pdf,51199142,a1a2ccbfe0097da6f531e78f834d01be5a1555700b809d8f68b162db83d23e7a,frozen_local_verified
Rincón,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Rincon_sectores_inundables.pdf,9781762,729730d124c5230dc622ca089f0d63b1e62a7113a837b97cb442cbb49f84d440,downloaded
Río Grande,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,RioGrande_sectores_inundables.pdf,14088827,21b57839e362fea7619aadfdb1df711f781946548cb20eb1808d31fe17618d00,downloaded
Sabana Grande,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,SabanaGrande_sectores_inundables.pdf,9221375,40fa4efdfcf349262dbced53b18cbbc814d4557cc7fbb41f2b78e4b095828b8b,downloaded
Salinas,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,Salinas_sectores_inundables.pdf,12530523,6b734e458262014103aab532c5157878902fb3670da254d2f941b00ac0846584,downloaded
San Germán,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,SanGerman_sectores_inundables.pdf,14160912,86a0e966a2f089a1246f55c482a0522c319b873bde599139bf836d14ac31d786,downloaded
San Juan,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,SanJuan_sectores_inundables.pdf,42457957,6ffb5284d712ec8c34c97687033d915a1085af3888bbcc60f8a6818939dc24e7,downloaded
San Lorenzo,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,SanLorenzo_sectores_inundables.pdf,6546086,c7095215979389043b0b37cb27d49b8a5067d01226ab05c97389acfabf2b6113,downloaded
San Sebastián,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,SanSebastian_sectores_inundables.pdf,7191584,3233e22468f5eaba0b0425e0d509950fe8d4f24383583b24435e52f7ff22cf34,downloaded
Santa Isabel,AVAILABLE,flood_risk_zone_map,flood_risk_zone_map,,SantaIsabel_sectores_inundables.pdf,16447520,ba8e8425cd5a576bfeb63ab5543be89fac6fc07a3a7f4702e71c477749ecd471,downloaded
